readingID,timestamp,roomID,deviceID,value,deviceType
205ad8de-375b-4bb7-af97-6179ec5b7ff0,2026-04-01 08:00:00,IT334,IT334_temperature,30.63,temperature
04e2fc18-da35-47bd-adba-a2f396a8c093,2026-04-01 08:00:00,IT334,IT334_light,6.0,light
74a1341d-bda3-43d9-a242-d04c926ad6de,2026-04-01 08:00:00,IT334,IT334_power,0.43,power
3450cd00-84f6-4983-a99f-8a4a2a6d6420,2026-04-01 08:00:00,Lab103,Lab103_temperature,29.55,temperature
5478af57-1d17-4190-86e0-80c0630298f9,2026-04-01 08:00:00,Lab103,Lab103_light,19.0,light
2a08c6ba-2cd3-432b-b4c1-3d9927b6ccb8,2026-04-01 08:00:00,Lab103,Lab103_power,,power
ae8c553d-5033-4d45-903a-053d70fa7cbd,2026-04-01 08:00:00,IT305,IT305_temperature,30.86,temperature
23c808ec-4ac1-4a6f-bfaa-7894e0328137,2026-04-01 08:00:00,IT305,IT305_light,23.0,light
49c089ca-8d57-489a-a253-bc126cb647ab,2026-04-01 08:00:00,IT305,IT305_power,0.34,power
628e0de8-4eec-48c4-b921-f2cac360197f,2026-04-01 08:00:00,Lab212,Lab212_temperature,29.3,temperature
82e5956c-ac40-4590-8323-a2d8ad904334,2026-04-01 08:00:00,Lab212,Lab212_light,5.0,light
5fa96259-1c95-44db-ab20-76fb757ed94f,2026-04-01 08:00:00,Lab212,Lab212_power,0.36,power
4126e46c-c544-4e51-b6f2-d6eb91e7bc17,2026-04-01 08:00:00,Lab212,Lab212_temperature,29.23,temperature
51980f46-5f8b-4384-a3ea-58e5f159b2cc,2026-04-01 08:00:00,Lab212,Lab212_light,41.0,light
0f61f408-508b-4512-876d-67ef3843ca19,2026-04-01 08:00:00,Lab212,Lab212_power,0.35,power
ba610ddf-673a-4ddf-8566-f2828811cd88,2026-04-01 08:00:00,IT331,IT331_temperature,31.41,temperature
d19110f1-3ea0-4421-8051-f37d56a7b2b6,2026-04-01 08:00:00,IT331,IT331_light,48.0,light
4da884b1-f304-4179-9a2d-3ccf0c452f76,2026-04-01 08:00:00,IT331,IT331_power,0.22,power
8d91c158-d792-48c0-8cec-6f264bcbbdf7,2026-04-01 08:00:00,Lab212,Lab212_temperature,28.28,temperature
4c92dc18-fe1f-4e8a-95e5-5c0d888b30c8,2026-04-01 08:00:00,Lab212,Lab212_light,41.0,light
7d935878-7837-4902-b4dc-4567be269a8d,2026-04-01 08:00:00,Lab212,Lab212_power,0.48,power
dd495992-465f-451c-9ff9-a0b2c75efa05,2026-04-01 08:00:00,IT334,IT334_temperature,28.7,temperature
4f2a45ea-3c26-4a80-8711-971cab17ffcd,2026-04-01 08:00:00,IT334,IT334_light,10.0,light
